date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:55	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/robots.txt		(from )
17:27:55	69572/69572	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2015:27:55%20GMT	https://neitavir.site/	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/index.html	(from )
17:27:55	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/s.ankama.com/www/static.ankama.com/dofus/ng/img/logo_dofus.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/s.ankama.com/www/static.ankama.com/dofus/ng/img/logo_dofus.jpg	(from https://neitavir.site/)
17:27:55	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/apple-touch-icon.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/apple-touch-icon.png	(from https://neitavir.site/)
17:27:56	383/383	---M-Z	200	added ('OK')	text/css	etag:%2217f-5b5793119d4c0-gzip%22	https://neitavir.site/css/style1.css	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/css/style1.css	(from https://neitavir.site/)
17:27:57	78775/78775	---M--	200	added ('OK')	text/css	etag:%225fc7747b-133b7%22	https://neitavir.site/css/kso.css	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/css/kso.css	(from https://neitavir.site/)
17:27:57	14963/14963	---M--	200	added ('OK')	text/css	etag:%225fc7747b-3a73%22	https://neitavir.site/css/homepage.css	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/css/homepage.css	(from https://neitavir.site/)
17:27:57	750193/750193	---M--	200	added ('OK')	text/css	etag:%225fc7747b-b7271%22	https://neitavir.site/css/pipo.css	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/css/pipo.css	(from https://neitavir.site/)
17:27:57	747320/747320	---M--	200	added ('OK')	text/css	etag:%225fc7747b-b6738%22	https://neitavir.site/css/cotop.css	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/css/cotop.css	(from https://neitavir.site/)
17:27:57	21964/21964	---M--	200	added ('OK')	image/png	etag:%225fc7747b-55cc%22	https://neitavir.site/012.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/012.png	(from https://neitavir.site/)
17:27:57	225037/225037	---M--	200	added ('OK')	image/jpeg	etag:%225fc7747b-36f0d%22	https://neitavir.site/backgry.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/backgry.jpg	(from https://neitavir.site/)
17:27:58	149291/149291	---M--	200	added ('OK')	image/png	etag:%225fc7747b-2472b%22	https://neitavir.site/dofusbg.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofusbg.png	(from https://neitavir.site/)
17:27:58	3004/3004	---M--	200	added ('OK')	image/png	etag:%225fc7747b-bbc%22	https://neitavir.site/img/little123.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/img/little123.png	(from https://neitavir.site/)
17:27:58	5508/5508	---M--	200	added ('OK')	image/png	etag:%225fc7747b-1584%22	https://neitavir.site/419541.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/419541.png	(from https://neitavir.site/)
17:27:58	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fr/mmorpg/actualites/news/1011122-vengeance-dragon-plumes-quoi-faut-attendre	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fr/mmorpg/actualites/news/1011122-vengeance-dragon-plumes-quoi-faut-attendre	(from https://neitavir.site/)
17:27:59	466317/466317	---M--	200	added ('OK')	image/jpeg	etag:%22631c3a2c-71d8d%22	https://neitavir.site/raval.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/raval.jpg	(from https://neitavir.site/)
17:27:59	42711/42711	---M--	200	added ('OK')	image/png	etag:%22635a85ae-a6d7%22	https://neitavir.site/raval.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/raval.png	(from https://neitavir.site/)
17:27:59	11677/11677	---M--	200	added ('OK')	image/jpeg	etag:%225fc7747b-2d9d%22	https://neitavir.site/logoakkk.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/logoakkk.jpg	(from https://neitavir.site/)
17:27:59	24222/24222	---M--	200	added ('OK')	image/png	etag:%225fc7747b-5e9e%22	https://neitavir.site/ecri1.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri1.png	(from https://neitavir.site/)
17:27:59	9205/9205	---M--	200	added ('OK')	image/png	etag:%225fc7747b-23f5%22	https://neitavir.site/ecri8.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri8.png	(from https://neitavir.site/)
17:28:00	20607/20607	---M--	200	added ('OK')	image/png	etag:%225fc7747b-507f%22	https://neitavir.site/ecri3.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri3.png	(from https://neitavir.site/)
17:28:00	21169/21169	---M--	200	added ('OK')	image/png	etag:%225fc7747b-52b1%22	https://neitavir.site/ecri4.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri4.png	(from https://neitavir.site/)
17:28:00	27435/27435	---M--	200	added ('OK')	image/png	etag:%225fc7747b-6b2b%22	https://neitavir.site/ecri5.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri5.png	(from https://neitavir.site/)
17:28:00	28086/28086	---M--	200	added ('OK')	image/png	etag:%225fc7747b-6db6%22	https://neitavir.site/ecri6.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri6.png	(from https://neitavir.site/)
17:28:00	18123/18123	---M--	200	added ('OK')	image/png	etag:%225fc7747b-46cb%22	https://neitavir.site/ecri9.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri9.png	(from https://neitavir.site/)
17:28:01	22850/22850	---M--	200	added ('OK')	image/png	etag:%225fc7747b-5942%22	https://neitavir.site/ecri7.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/ecri7.png	(from https://neitavir.site/)
17:28:01	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fr/forum/1003-divers	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fr/forum/1003-divers	(from https://neitavir.site/)
17:28:01	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fr/forum	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fr/forum	(from https://neitavir.site/)
17:28:02	919/919	---M--	403	error ('Forbidden')	text/html	date:Wed,%2014%20Jun%202023%2015:28:01%20GMT	https://static.ankama.com/g/modules/ads/assets/generic-dofus-ad-fr.jpg	C:/Users/David/Desktop/scam/dsqdqd/static.ankama.com/g/modules/ads/assets/generic-dofus-ad-fr.1a.delayed	(from https://neitavir.site/)
17:28:02	572/572	---M-Z	200	added ('OK')	application/javascript	etag:%2223c-5b5793119d4c0-gzip%22	https://neitavir.site/js/script.js	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/js/script.js	(from https://neitavir.site/)
17:28:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/icons/sprite.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/icons/sprite.png	(from https://neitavir.site/css/pipo.css)
17:28:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fonts/fontawesome-webfont.eot?v=4.1.0	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fonts/fontawesome-webfont862f.eot	(from https://neitavir.site/css/pipo.css)
17:28:03	194193/194193	---M--	200	added ('OK')	application/javascript	etag:%225fc7747b-2f691%22	https://neitavir.site/common2.js	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/common2.js	(from https://neitavir.site/)
17:28:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fonts/fontawesome-webfont.eot?	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fonts/fontawesome-webfontd41d.eot	(from https://neitavir.site/css/pipo.css)
17:28:03	1016341/1016341	---M--	200	added ('OK')	application/javascript	etag:%225fc7747b-f8215%22	https://neitavir.site/common.js	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/common.js	(from https://neitavir.site/)
17:28:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fonts/fontawesome-webfont.woff?v=4.1.0	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fonts/fontawesome-webfont862f.woff	(from https://neitavir.site/css/pipo.css)
17:28:03	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fonts/fontawesome-webfont862f.ttf	(from https://neitavir.site/css/pipo.css)
17:28:04	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fonts/fontawesome-webfont.svg?v=4.1.0	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fonts/fontawesome-webfont862f.svg	(from https://neitavir.site/css/pipo.css)
17:28:04	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/masterpage/common/fonts/roboto_400.eot	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/masterpage/common/fonts/roboto_400.eot	(from https://neitavir.site/css/pipo.css)
17:28:04	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/block/autocomplete/dofus/ajax-loader-indicator.gif	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/block/autocomplete/dofus/ajax-loader-indicator.gif	(from https://neitavir.site/css/pipo.css)
17:28:04	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-shop.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-shop.jpg	(from https://neitavir.site/css/pipo.css)
17:28:05	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/icon-shop.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/icon-shop.png	(from https://neitavir.site/css/pipo.css)
17:28:05	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-article.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-article.jpg	(from https://neitavir.site/css/pipo.css)
17:28:05	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-new.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/bg-new.png	(from https://neitavir.site/css/pipo.css)
17:28:05	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/icon-ogrines.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/icon-ogrines.png	(from https://neitavir.site/css/pipo.css)
17:28:05	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/homepage/assets/dofus/sprite_shop.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/homepage/assets/dofus/sprite_shop.png	(from https://neitavir.site/css/pipo.css)
17:28:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/fr/ladder/kolizeum/g/modules/lists/dofus/bg-item.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/fr/ladder/kolizeum/g/modules/lists/dofus/bg-item.jpg	(from https://neitavir.site/css/pipo.css)
17:28:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/lists/dofus/bg-item-hover.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/lists/dofus/bg-item-hover.jpg	(from https://neitavir.site/css/pipo.css)
17:28:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/cms/item/dofus/li.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/cms/item/dofus/li.png	(from https://neitavir.site/css/pipo.css)
17:28:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/community/event/10years/map/dofus/icon.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/community/event/10years/map/dofus/icon.png	(from https://neitavir.site/css/pipo.css)
17:28:07	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/g/modules/mmorpg/10years/quiz/dofus/stripes-blue.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/g/modules/mmorpg/10years/quiz/dofus/stripes-blue.jpg	(from https://neitavir.site/css/pipo.css)
17:28:07	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/breeds/assets/breeds.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/breeds/assets/breeds.jpg	(from https://neitavir.site/css/pipo.css)
17:28:07	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/breeds/assets/icons/big.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/breeds/assets/icons/big.png	(from https://neitavir.site/css/pipo.css)
17:28:07	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/banner.fr.jpg	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/banner.fr.jpg	(from https://neitavir.site/css/pipo.css)
17:28:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_autograph_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_autograph_list.png	(from https://neitavir.site/css/pipo.css)
17:28:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_concert_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_concert_list.png	(from https://neitavir.site/css/pipo.css)
17:28:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_exhibition_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_exhibition_list.png	(from https://neitavir.site/css/pipo.css)
17:28:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_fair_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_fair_list.png	(from https://neitavir.site/css/pipo.css)
17:28:08	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_projection_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_projection_list.png	(from https://neitavir.site/css/pipo.css)
17:28:09	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_tournament_list.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/new/eventsirl/dofus/type_tournament_list.png	(from https://neitavir.site/css/pipo.css)
17:28:09	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/jobs-43.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/jobs-43.png	(from https://neitavir.site/css/pipo.css)
17:28:09	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/no_job.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/no_job.png	(from https://neitavir.site/css/pipo.css)
17:28:09	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5fdb471026ea6%22	https://neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/jobs-30.png	C:/Users/David/Desktop/scam/dsqdqd/neitavir.site/dofus/ng/modules/mmorpg/encyclopedia/jobs/assets/jobs-30.png	(from https://neitavir.site/css/pipo.css)
